Model,CV_MSE,CV_RMSE,CV_R2,MSE_train,RMSE_train,MSE_test,RMSE_test,R2_train,R2_test
Baseline,NaN,NaN,NaN,8593944992.245739,92703.5327926921,8607588916.73923,92777.09262926505,0.0,0.0
LinearRegression+Data_lr+StandardScaler,3639278072.264776,60326.42930146601,0.5769405440107888,3429409551.3272614,58561.160775101285,4250756476.458891,65197.82570346109,0.6009504884634944,0.5061617698549219
LinearRegression+Data_lr+MinMaxScaler,3641515217.3694882,60344.968451143366,0.5766793427266178,3430432126.6096597,58569.89095610184,4238982720.827599,65107.47054545737,0.6008315005850147,0.5075296041863682
LinearRegression+Data_lr+RobustScaler,3639464238.10451,60327.972269126614,0.5769145783221327,3429926339.0027795,58565.57298449986,4239003314.1386175,65107.62869386826,0.6008903545347823,0.5075272117265031
LinearRegression+Data_lr+None,3640170929.742506,60333.82906581105,0.576834484926624,3429307697.8271832,58560.29113509583,4238062531.088125,65100.403463328286,0.6009623402382229,0.5076365086573384
LinearRegression+Data+StandardScaler,3640275923.925242,60334.69916992412,0.576821798134782,3430676286.3739805,58571.975264404224,4239122583.1923656,65108.54462505183,0.600803089911623,0.5075133554590974
LinearRegression+Data+MinMaxScaler,3641298630.919502,60343.173855205045,0.576703031329818,3430780662.7902045,58572.86626749799,4247853703.4256964,65175.560629930114,0.6007909445678585,0.5064990040166916
LinearRegression+Data+RobustScaler,3639204567.702811,60325.82007484698,0.5769438996477639,3429926339.0027795,58565.57298449986,4239003314.138632,65107.62869386837,0.6008903545347823,0.5075272117265013
LinearRegression+Data+None,3639810299.9655232,60330.84037178268,0.5768754318070777,3429517096.7111664,58562.07899922241,4238075303.042055,65100.50155753068,0.6009379743754937,0.5076350248557706
LinearRegression+Data_p2+StandardScaler,3080144834.0445457,55499.052550872846,0.6422403253577924,2669494984.9417515,51667.15576593849,3577983832.2635813,59816.25057008824,0.6893749043832118,0.5843221758295805
LinearRegression+Data_p2+MinMaxScaler,3079945001.7735343,55497.252200208386,0.642264076088227,2669453583.3338413,51666.755107456105,3578128206.1408796,59817.457369407464,0.6893797219155495,0.5843054029703402
LinearRegression+Data_p2+RobustScaler,3080266977.318794,55500.15294860721,0.6422257931730642,2669507535.6721897,51667.27722332763,3578930787.2265677,59824.16557902473,0.6893734439677157,0.5842121618672332
LinearRegression+Data_p2+None,3080245080.9834003,55499.955684517445,0.6422283932546398,2669497442.4540963,51667.17954808542,3577963133.015775,59816.077546223096,0.6893746184246273,0.5843245805968162
LinearRegression+Data_p3+StandardScaler,6615890325.141597,81338.12344246452,0.22389309332571358,2072165321.0352094,45521.04261805972,7819983348.788467,88430.66972939008,0.7588807790944775,0.09150129909423299
LinearRegression+Data_p3+MinMaxScaler,6615943263.493499,81338.44886333584,0.22388471885230746,2072203481.1168334,45521.46176384095,7821387867.766017,88438.61072951122,0.7588763387493672,0.09133812692242793
LinearRegression+Data_p3+RobustScaler,6615642416.233341,81336.59948776652,0.223919386464325,2072170778.074685,45521.10255776638,7819300047.1310835,88426.8061570194,0.7588801441079281,0.09158068272465425
LinearRegression+Data_p3+None,6615916855.675263,81338.28653023903,0.22388767387310296,2072166494.7493649,45521.05551005342,7819960391.469683,88430.53992524123,0.7588806425199293,0.09150396619636891
CatBoostRegressor_encoded+Data+None,2115636601.2134845,45996.049843584224,0.754223563598644,593836694.9883927,24368.764740716604,2265174317.7855816,47593.84747827792,0.9309005706315077,0.7368398584439269
RandomForestRegressor+Data+None,2384680639.7746453,48833.1919883868,0.7228637225049693,321092229.7421158,17919.04656342284,2399890835.0944276,48988.680683341816,0.962637388297012,0.7211889579871378
LGBMRegressor+Data+None,2217345396.897898,47088.69712465931,0.7423823450021342,788205975.5754923,28075.00624355215,2338864789.2232566,48361.811269050464,0.9082835675249625,0.7282787535688591
CatBoostRegressor_ne+Data_ne+None,2118725366.2702968,46029.614013918224,0.7538841945085591,582738418.7184193,24139.975532680626,2286302937.3880377,47815.300243625345,0.9321919771136282,0.7343852082733817
